,DE_load_actual_entsoe_transparency
1511,56811.0
1512,54037.0
1513,52238.0
1514,51360.0
1515,51643.0
1516,52549.0
1517,55233.0
1518,61548.0
1519,65626.0
1520,67578.0
1521,68081.0
1522,68941.0
1523,69098.0
1524,68483.0
1525,68635.0
1526,67203.0
1527,65936.0
1528,64746.0
1529,64901.0
1530,67852.0
1531,68194.0
1532,64694.0
1533,61920.0
1534,59761.0
1535,56245.0
1536,53210.0
1537,51673.0
1538,50916.0
1539,51135.0
1540,52192.0
1541,54618.0
1542,60892.0
1543,65106.0
1544,67367.0
1545,68046.0
1546,68375.0
1547,68672.0
1548,68303.0
1549,66592.0
1550,65133.0
1551,64002.0
1552,62785.0
1553,63042.0
1554,65447.0
1555,65471.0
1556,61902.0
1557,59148.0
1558,57190.0
1559,54096.0
1560,51559.0
1561,49861.0
1562,48886.0
1563,48598.0
1564,48960.0
1565,49362.0
1566,50059.0
1567,51756.0
1568,54773.0
1569,57586.0
1570,58917.0
1571,58991.0
1572,58504.0
1573,56815.0
1574,55063.0
1575,53537.0
1576,52488.0
1577,53577.0
1578,57618.0
1579,58468.0
1580,55368.0
1581,53461.0
1582,52756.0
1583,50094.0
1584,47203.0
1585,45443.0
1586,44442.0
1587,44336.0
1588,44479.0
1589,44467.0
1590,43936.0
1591,44987.0
1592,47778.0
1593,50654.0
1594,52400.0
1595,53458.0
1596,52851.0
1597,50948.0
1598,49228.0
1599,48138.0
1600,47936.0
1601,49957.0
1602,54451.0
1603,55905.0
1604,53740.0
1605,52400.0
1606,52463.0
1607,49906.0
1608,47238.0
1609,45983.0
1610,45356.0
1611,45830.0
1612,47518.0
1613,51034.0
1614,58612.0
1615,63165.0
1616,65341.0
1617,66068.0
1618,67019.0
1619,67973.0
1620,67260.0
1621,66502.0
1622,65242.0
1623,64220.0
1624,62750.0
1625,62881.0
1626,66021.0
1627,67428.0
1628,63859.0
1629,60956.0
1630,58246.0
1631,54626.0
1632,51419.0
1633,49719.0
1634,49309.0
1635,49596.0
1636,50975.0
1637,53635.0
1638,60251.0
1639,64549.0
1640,66919.0
1641,67217.0
1642,68155.0
1643,69212.0
1644,68419.0
